CMDLINE /Users/macbookair/Documents/Programming/oneredboxng/venv/bin/python3 app.py
MEM 39.218750 1680699790.6806
MEM 39.218750 1680699790.7872
MEM 39.218750 1680699790.8909
MEM 39.218750 1680699790.9949
MEM 39.218750 1680699791.1002
MEM 39.218750 1680699791.2053
MEM 39.218750 1680699791.3101
MEM 39.218750 1680699791.4148
MEM 39.218750 1680699791.5162
MEM 39.218750 1680699791.6216
MEM 39.218750 1680699791.7274
MEM 39.218750 1680699791.8329
MEM 39.218750 1680699791.9385
MEM 39.218750 1680699792.0425
MEM 39.218750 1680699792.1433
MEM 39.218750 1680699792.2476
MEM 39.218750 1680699792.3482
MEM 39.218750 1680699792.4511
MEM 39.218750 1680699792.5551
MEM 39.218750 1680699792.6579
MEM 39.218750 1680699792.7615
MEM 39.218750 1680699792.8669
MEM 39.218750 1680699792.9722
MEM 39.218750 1680699793.0759
MEM 39.218750 1680699793.1779
MEM 39.218750 1680699793.2810
MEM 39.218750 1680699793.3856
MEM 39.218750 1680699793.4879
MEM 39.218750 1680699793.5888
MEM 39.218750 1680699793.6924
MEM 39.218750 1680699793.7966
MEM 39.218750 1680699793.8975
MEM 39.218750 1680699793.9990
MEM 39.218750 1680699794.1012
MEM 39.218750 1680699794.2066
MEM 39.218750 1680699794.3072
MEM 39.218750 1680699794.4107
MEM 39.218750 1680699794.5127
MEM 39.218750 1680699794.6150
MEM 39.218750 1680699794.7166
MEM 39.218750 1680699794.8215
MEM 39.218750 1680699794.9258
MEM 39.218750 1680699795.0308
MEM 39.218750 1680699795.1359
MEM 39.218750 1680699795.2386
MEM 39.218750 1680699795.3429
MEM 39.218750 1680699795.4470
MEM 39.218750 1680699795.5515
MEM 39.218750 1680699795.6550
MEM 39.218750 1680699795.7602
MEM 39.218750 1680699795.8648
MEM 39.218750 1680699795.9689
MEM 39.218750 1680699796.0743
MEM 39.218750 1680699796.1794
MEM 39.218750 1680699796.2848
MEM 39.218750 1680699796.3901
MEM 39.218750 1680699796.4909
MEM 39.218750 1680699796.5929
MEM 39.218750 1680699796.6976
MEM 39.218750 1680699796.7992
MEM 39.218750 1680699796.9006
MEM 39.218750 1680699797.0012
MEM 39.218750 1680699797.1022
MEM 39.218750 1680699797.2061
MEM 39.218750 1680699797.3092
MEM 39.218750 1680699797.4125
MEM 39.218750 1680699797.5177
MEM 39.218750 1680699797.6230
MEM 39.218750 1680699797.7283
MEM 39.218750 1680699797.8316
MEM 39.218750 1680699797.9371
MEM 39.218750 1680699798.0426
MEM 39.218750 1680699798.1472
